occurrence,year,"Country iso, Country name",disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 US$)
Viet Nam,2000,VNM,Landslide,2,73,0,39,0,0
Viet Nam,2000,VNM,Storm,7,23,2505,169,11860,26035
Viet Nam,2000,VNM,Transport accident,1,57,0,11,0,0
Viet Nam,2001,VNM,Flood,4,339,1608445,6,0,88700
Viet Nam,2001,VNM,Miscellaneous accident,1,0,0,4,500,0
Viet Nam,2001,VNM,Storm,3,53,177450,89,23100,83200
Viet Nam,2001,VNM,Transport accident,5,70,0,22,0,0
Viet Nam,2002,VNM,Drought,1,0,1300000,0,0,200000
Viet Nam,2002,VNM,Flood,3,147,1431700,116,0,84100
Viet Nam,2002,VNM,Miscellaneous accident,1,60,0,100,0,2000
Viet Nam,2002,VNM,Storm,1,0,1800,0,0,100
Viet Nam,2002,VNM,Wildfire,1,0,0,0,0,0
Viet Nam,2003,VNM,Epidemic,2,20,66,0,0,0
Viet Nam,2003,VNM,Flood,3,128,402880,63,13880,105000
Viet Nam,2003,VNM,Industrial accident,2,12,3500,35,0,0
Viet Nam,2003,VNM,Miscellaneous accident,1,37,0,55,0,0
Viet Nam,2003,VNM,Storm,1,0,0,18,5000,0
Viet Nam,2003,VNM,Transport accident,1,14,0,6,0,0
Viet Nam,2004,VNM,Epidemic,1,42,51,0,0,0
Viet Nam,2004,VNM,Flood,3,96,35000,18,0,8000
Viet Nam,2004,VNM,Industrial accident,1,0,0,400,0,0
Viet Nam,2004,VNM,Landslide,1,23,0,0,0,0
Viet Nam,2004,VNM,Storm,2,70,500900,5,0,30000
Viet Nam,2004,VNM,Transport accident,1,50,0,0,0,0
Viet Nam,2005,VNM,Drought,1,0,410000,0,0,42120
Viet Nam,2005,VNM,Epidemic,1,16,83,0,0,0
Viet Nam,2005,VNM,Flood,5,192,74185,3,18205,54000
Viet Nam,2005,VNM,Storm,4,116,367632,28,0,250250
Viet Nam,2005,VNM,Transport accident,5,94,1,84,0,0
Viet Nam,2006,VNM,Flood,5,178,50000,120,2000,9000
Viet Nam,2006,VNM,Storm,6,401,2944720,1890,350680,1090000
Viet Nam,2006,VNM,Transport accident,1,19,0,0,0,0
Viet Nam,2007,VNM,Epidemic,1,27,0,0,0,0
Viet Nam,2007,VNM,Flood,5,230,962000,172,0,790000
Viet Nam,2007,VNM,Industrial accident,2,82,0,80,0,2000
Viet Nam,2007,VNM,Storm,1,96,637755,150,47525,191000
Viet Nam,2007,VNM,Transport accident,1,13,0,24,0,0
Viet Nam,2008,VNM,Flood,5,157,632500,4,0,483000
Viet Nam,2008,VNM,Storm,5,254,143830,159,12660,190500
Viet Nam,2008,VNM,Transport accident,2,25,0,18,0,0
Viet Nam,2009,VNM,Flood,2,37,740000,0,0,0
Viet Nam,2009,VNM,Landslide,1,13,0,1,0,0
Viet Nam,2009,VNM,Storm,3,306,2867820,1005,108635,1065200
Viet Nam,2009,VNM,Transport accident,2,54,36,15,0,0
Viet Nam,2010,VNM,Flood,4,186,1489750,83,0,660200
Viet Nam,2010,VNM,Storm,3,35,32960,20,1620,44500
Viet Nam,2010,VNM,Transport accident,2,64,12,0,0,0
Viet Nam,2011,VNM,Flood,3,122,1361570,14,0,219002
Viet Nam,2011,VNM,Industrial accident,2,35,0,21,0,0
Viet Nam,2011,VNM,Storm,2,16,0,63,0,0
Viet Nam,2011,VNM,Transport accident,2,28,27,0,0,0
Viet Nam,2012,VNM,Flood,1,34,0,40,17500,30000
Viet Nam,2012,VNM,Storm,3,38,59320,107,279545,342800
Viet Nam,2012,VNM,Transport accident,1,35,0,23,0,0
Viet Nam,2013,VNM,Flood,6,141,2158865,66,2070,78500
Viet Nam,2013,VNM,Industrial accident,1,24,4385,97,30,0
Viet Nam,2013,VNM,Miscellaneous accident,1,10,0,0,0,0
Viet Nam,2013,VNM,Storm,4,79,1962485,584,375,1474230
Viet Nam,2014,VNM,Storm,3,38,48075,0,0,10700
Viet Nam,2014,VNM,Transport accident,1,16,0,5,0,0
